EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
199,Douglas,Grant,DGRANT,6505079844,1/13/2008,SH_CLERK,2600,124,50
200,Jennifer,Whalen,JWHALEN,5151234444,9/17/2003,AD_ASST,4400,101,10
201,Michael,Hartstein,MHARTSTE,5151235555,2/17/2004,MK_MAN,13000,100,20
202,Pat,Fay,PFAY,6031236666,8/17/2005,MK_REP,6000,201,20
203,Susan,Mavris,SMAVRIS,5151237777,6/7/2002,HR_REP,6500,101,40
204,Hermann,Baer,HBAER,5151238888,6/7/2002,PR_REP,10000,101,70
205,Shelley,Higgins,SHIGGINS,5151238080,6/7/2002,AC_MGR,12008,101,110
206,William,Gietz,WGIETZ,5151238181,6/7/2002,AC_ACCOUNT,8300,205,110
100,Steven,King,SKING,5151234567,6/17/2003,AD_PRES,24000,110,90
101,Neena,Kochhar,NKOCHHAR,5151234568,9/21/2005,AD_VP,17000,100,90
102,Lex,De Haan,LDEHAAN,5151234569,1/13/2001,AD_VP,17000,100,90
103,Alexander,Hunold,AHUNOLD,5904234567,1/3/2006,IT_PROG,9000,102,60
104,Bruce,Ernst,BERNST,5904234568,5/21/2007,IT_PROG,6000,103,60
105,David,Austin,DAUSTIN,5904234569,6/25/2005,IT_PROG,4800,103,60
106,Valli,Pataballa,VPATABAL,5904234560,2/5/2006,IT_PROG,4800,103,60
107,Diana,Lorentz,DLORENTZ,5904235567,2/7/2007,IT_PROG,4200,103,60
108,Nancy,Greenberg,NGREENBE,5151244569,8/17/2002,FI_MGR,12008,101,100
109,Daniel,Faviet,DFAVIET,5151244169,8/16/2002,FI_ACCOUNT,9000,108,100
110,John,Chen,JCHEN,5151244269,9/28/2005,FI_ACCOUNT,8200,108,100
111,Ismael,Sciarra,ISCIARRA,5151244369,9/30/2005,FI_ACCOUNT,7700,108,100
112,Jose Manuel,Urman,JMURMAN,5151244469,3/7/2006,FI_ACCOUNT,7800,108,100
113,Luis,Popp,LPOPP,5151244567,12/7/2007,FI_ACCOUNT,6900,108,100
114,Den,Raphaely,DRAPHEAL,5151274561,12/7/2002,PU_MAN,11000,100,30
115,Alexander,Khoo,AKHOO,5151274562,5/18/2003,PU_CLERK,3100,114,30
116,Shelli,Baida,SBAIDA,5151274563,12/24/2005,PU_CLERK,2900,114,30
117,Sigal,Tobias,STOBIAS,5151274564,7/24/2005,PU_CLERK,2800,114,30
118,Guy,Himuro,GHIMURO,5151274565,11/15/2006,PU_CLERK,2600,114,30
119,Karen,Colmenares,KCOLMENA,5151274566,8/10/2007,PU_CLERK,2500,114,30
120,Matthew,Weiss,MWEISS,6501231234,7/18/2004,ST_MAN,8000,100,50
121,Adam,Fripp,AFRIPP,6501232234,4/10/2005,ST_MAN,8200,100,50
122,Payam,Kaufling,PKAUFLIN,6501233234,5/1/2003,ST_MAN,7900,100,50
123,Shanta,Vollman,SVOLLMAN,6501234234,10/10/2005,ST_MAN,6500,100,50
124,Kevin,Mourgos,KMOURGOS,6501235234,11/16/2007,ST_MAN,5800,100,50
125,Julia,Nayer,JNAYER,6501241214,7/16/2005,ST_CLERK,3200,120,50
126,Irene,Mikkilineni,IMIKKILI,6501241224,9/28/2006,ST_CLERK,2700,120,50
127,James,Landry,JLANDRY,6501241334,1/14/2007,ST_CLERK,2400,120,50
128,Steven,Markle,SMARKLE,6501241434,3/8/2008,ST_CLERK,2200,120,50
129,Laura,Bissot,LBISSOT,6501245234,8/20/2005,ST_CLERK,3300,121,50
130,Mozhe,Atkinson,MATKINSO,6501246234,10/30/2005,ST_CLERK,2800,121,50
131,James,Marlow,JAMRLOW,6501247234,2/16/2005,ST_CLERK,2500,121,50
132,TJ,Olson,TJOLSON,6501248234,4/10/2007,ST_CLERK,2100,121,50
133,Jason,Mallin,JMALLIN,6501271934,6/14/2004,ST_CLERK,3300,122,50
134,Michael,Rogers,MROGERS,6501271834,8/26/2006,ST_CLERK,2900,122,50
135,Ki,Gee,KGEE,6501271734,12/12/2007,ST_CLERK,2400,122,50
136,Hazel,Philtanker,HPHILTAN,6501271634,2/6/2008,ST_CLERK,2200,122,50
137,Renske,Ladwig,RLADWIG,6501211234,7/14/2003,ST_CLERK,3600,123,50
138,Stephen,Stiles,SSTILES,6501212034,10/26/2005,ST_CLERK,3200,123,50
139,John,Seo,JSEO,6501212019,2/12/2006,ST_CLERK,2700,123,50
140,Joshua,Patel,JPATEL,6501211834,4/6/2006,ST_CLERK,2500,123,50
